job_title,experience_years,education_level,skills_count,industry,company_size,location,remote_work,certifications,salary
Product Manager,0,Bachelor,4,Education,Medium,Singapore,No,4,112145
Data Scientist,20,PhD,17,Technology,Startup,USA,No,0,204169
Product Manager,19,PhD,8,Healthcare,Small,Canada,No,3,211947
Cybersecurity Analyst,16,Master,15,Technology,Medium,India,Hybrid,4,106372
Product Manager,16,High School,10,Retail,Startup,UK,No,2,155277
AI Engineer,16,Diploma,7,Media,Small,Remote,Hybrid,2,150109
Product Manager,19,Master,3,Consulting,Small,Canada,Hybrid,2,188182
Data Scientist,12,High School,12,Finance,Small,India,Hybrid,2,82350
DevOps Engineer,8,Bachelor,1,Retail,Medium,Singapore,Hybrid,0,118615
Data Analyst,6,Diploma,13,Telecom,Large,USA,Yes,1,140005
Cloud Engineer,1,High School,9,Retail,Startup,Australia,Hybrid,2,92507
Backend Developer,18,Master,17,Education,Small,UK,No,0,166782
Machine Learning Engineer,16,Master,3,Education,Large,Singapore,Yes,0,174852
Data Analyst,13,Master,1,Finance,Small,Netherlands,Yes,1,116237
Data Scientist,4,Diploma,14,Finance,Large,UK,Hybrid,2,147489
Data Scientist,7,Diploma,11,Manufacturing,Medium,USA,Hybrid,4,158848
Business Analyst,6,High School,13,Consulting,Medium,Australia,Yes,3,85052
Cloud Engineer,16,High School,11,Finance,Small,India,Hybrid,3,105332
Backend Developer,6,Master,2,Government,Small,Remote,No,4,116044
Data Scientist,3,PhD,1,Healthcare,Medium,India,Yes,1,88806
Machine Learning Engineer,16,High School,9,Finance,Startup,India,Yes,4,96176
Machine Learning Engineer,4,Bachelor,17,Government,Startup,Remote,No,4,123381
AI Engineer,9,PhD,9,Education,Small,UK,Hybrid,1,183880
Machine Learning Engineer,16,Master,7,Healthcare,Enterprise,Netherlands,Hybrid,3,209623
Cloud Engineer,3,Master,12,Consulting,Enterprise,Germany,Hybrid,5,175544
Data Analyst,15,Master,6,Telecom,Enterprise,Sweden,No,1,144002
Cybersecurity Analyst,14,Diploma,11,Healthcare,Medium,USA,Hybrid,2,180610
Software Engineer,3,High School,12,Healthcare,Enterprise,USA,Hybrid,0,161773
Cybersecurity Analyst,19,Master,3,Technology,Startup,Canada,No,5,184404
AI Engineer,15,Master,18,Finance,Medium,USA,Yes,1,247934
AI Engineer,20,Bachelor,4,Education,Enterprise,India,Yes,1,166920
AI Engineer,17,Diploma,8,Media,Small,Singapore,Hybrid,2,155549
Cybersecurity Analyst,5,High School,2,Technology,Medium,Canada,Yes,2,130529
Backend Developer,2,High School,19,Technology,Large,Singapore,Hybrid,4,122089
AI Engineer,6,PhD,1,Government,Medium,Netherlands,Yes,0,154158
Backend Developer,3,Master,6,Telecom,Small,India,Yes,3,76113
Frontend Developer,10,Bachelor,10,Government,Small,India,No,3,79726
Product Manager,15,Bachelor,13,Retail,Medium,Germany,Yes,2,177046
Cloud Engineer,3,High School,3,Retail,Medium,UK,Yes,2,125692
Business Analyst,14,Diploma,1,Retail,Startup,UK,Hybrid,1,114723
Frontend Developer,7,PhD,8,Finance,Large,India,No,4,104949
DevOps Engineer,20,Diploma,7,Technology,Enterprise,USA,Hybrid,2,238232
Business Analyst,15,PhD,12,Manufacturing,Startup,Remote,Hybrid,5,136104
Data Scientist,8,High School,6,Government,Large,Canada,Hybrid,0,137702
Cloud Engineer,17,High School,4,Retail,Small,Germany,Hybrid,4,158516
Software Engineer,9,PhD,19,Media,Startup,USA,No,3,172476
AI Engineer,9,Master,3,Retail,Large,USA,No,5,231292
DevOps Engineer,0,Diploma,6,Healthcare,Medium,Australia,Yes,4,100677
Data Analyst,18,Bachelor,18,Retail,Startup,Singapore,Hybrid,4,126187
Cloud Engineer,18,Master,10,Government,Enterprise,USA,Hybrid,2,265717
Frontend Developer,0,PhD,6,Retail,Large,Australia,Hybrid,0,116059
Backend Developer,14,Diploma,5,Retail,Startup,India,No,1,87059
Business Analyst,5,Diploma,9,Telecom,Startup,Remote,Hybrid,3,76241
Cybersecurity Analyst,8,Diploma,8,Media,Small,India,Hybrid,4,73800
Data Analyst,20,Bachelor,13,Finance,Small,Remote,Yes,0,136191
Data Analyst,0,Bachelor,13,Manufacturing,Large,Germany,No,0,102551
Data Analyst,15,Diploma,14,Manufacturing,Enterprise,India,Hybrid,2,92076
DevOps Engineer,10,High School,12,Telecom,Medium,UK,Hybrid,4,151329
Backend Developer,12,Diploma,8,Education,Large,Remote,Yes,2,140242
Frontend Developer,16,Diploma,13,Consulting,Enterprise,USA,Yes,3,210433
Frontend Developer,14,Master,7,Telecom,Startup,Australia,Yes,5,129389
Cloud Engineer,11,Diploma,9,Consulting,Large,Sweden,Hybrid,3,134153
Cybersecurity Analyst,13,High School,16,Finance,Small,Singapore,Hybrid,1,123983
Machine Learning Engineer,3,Master,4,Manufacturing,Enterprise,Singapore,Yes,1,165411
AI Engineer,8,High School,4,Healthcare,Large,USA,Hybrid,3,204139
Cloud Engineer,19,Diploma,13,Telecom,Enterprise,Germany,Hybrid,2,213349
Backend Developer,2,High School,16,Technology,Large,Singapore,No,4,130740
DevOps Engineer,11,Bachelor,15,Finance,Enterprise,Singapore,Yes,2,169206
Product Manager,15,Diploma,3,Consulting,Startup,Netherlands,No,4,132699
Business Analyst,4,PhD,5,Retail,Startup,UK,Hybrid,0,110834
AI Engineer,3,PhD,5,Manufacturing,Large,India,No,0,128139
Machine Learning Engineer,17,Diploma,1,Retail,Enterprise,Singapore,Yes,5,193839
Machine Learning Engineer,3,Bachelor,18,Education,Medium,USA,Hybrid,1,173816
DevOps Engineer,7,PhD,18,Telecom,Startup,Sweden,No,4,144641
Cloud Engineer,17,PhD,7,Finance,Small,Germany,No,5,184582
Business Analyst,9,PhD,3,Media,Enterprise,Australia,Yes,5,154519
Product Manager,0,PhD,9,Media,Small,Singapore,No,3,132751
Frontend Developer,8,PhD,18,Healthcare,Small,USA,Hybrid,2,177360
Frontend Developer,3,Bachelor,9,Consulting,Startup,USA,Yes,5,128545
Product Manager,13,Bachelor,15,Healthcare,Medium,Remote,No,0,147725
Backend Developer,4,Master,14,Consulting,Enterprise,Canada,No,5,172259
Cloud Engineer,9,High School,8,Technology,Medium,USA,Hybrid,1,158402
AI Engineer,12,Diploma,1,Government,Small,Germany,Hybrid,3,158838
Business Analyst,16,PhD,11,Technology,Enterprise,Canada,No,5,208736
Machine Learning Engineer,4,Diploma,2,Technology,Small,Singapore,No,3,114717
AI Engineer,15,Diploma,15,Consulting,Medium,Australia,No,0,167175
Cloud Engineer,12,Master,13,Finance,Startup,Singapore,No,2,139713
Data Scientist,8,High School,8,Finance,Startup,UK,Hybrid,4,122744
Data Scientist,18,High School,19,Education,Large,Singapore,No,0,157284
Cybersecurity Analyst,5,PhD,16,Finance,Enterprise,UK,Hybrid,5,208857
Cybersecurity Analyst,12,Diploma,9,Technology,Startup,India,Hybrid,3,86538
Machine Learning Engineer,5,High School,11,Retail,Enterprise,Canada,No,2,181320
Software Engineer,12,Bachelor,5,Finance,Startup,Germany,No,1,122801
Cloud Engineer,0,Master,3,Telecom,Small,Netherlands,No,0,110584
DevOps Engineer,16,PhD,5,Education,Startup,Netherlands,No,3,154722
Product Manager,12,High School,2,Manufacturing,Small,Germany,No,3,135260
Data Scientist,18,PhD,4,Healthcare,Large,Netherlands,No,3,188730
Product Manager,12,Master,10,Manufacturing,Medium,Sweden,Hybrid,1,158133
AI Engineer,6,High School,4,Education,Medium,India,No,3,100976
AI Engineer,15,Diploma,15,Government,Large,Australia,No,4,189959
Machine Learning Engineer,17,PhD,1,Finance,Startup,India,Yes,0,112705
Backend Developer,1,High School,4,Telecom,Small,UK,Yes,1,92973
Cybersecurity Analyst,14,High School,6,Media,Startup,Canada,Hybrid,5,147524
Product Manager,6,PhD,17,Manufacturing,Startup,Canada,Yes,3,173591
Product Manager,1,Bachelor,6,Finance,Startup,India,Hybrid,1,68002
Business Analyst,18,PhD,16,Retail,Enterprise,Remote,Yes,2,189363
Cloud Engineer,3,PhD,9,Retail,Enterprise,USA,Hybrid,3,218640
Software Engineer,10,Diploma,1,Finance,Small,Remote,No,2,115367
Software Engineer,15,Bachelor,2,Finance,Startup,UK,Hybrid,0,135456
AI Engineer,17,Bachelor,6,Telecom,Medium,Netherlands,No,0,164951
Cybersecurity Analyst,4,Master,7,Retail,Startup,Singapore,Hybrid,5,126069
Machine Learning Engineer,9,High School,2,Consulting,Medium,Australia,No,1,136647
Software Engineer,2,PhD,19,Retail,Startup,Sweden,Yes,5,125019
Data Scientist,10,Master,14,Finance,Startup,Germany,Hybrid,4,143980
Frontend Developer,20,PhD,2,Education,Startup,Australia,Hybrid,4,151030
DevOps Engineer,11,PhD,13,Education,Medium,Australia,No,4,172307
Data Scientist,8,Bachelor,4,Technology,Medium,Sweden,No,1,123220
Cloud Engineer,11,Bachelor,1,Media,Large,Netherlands,Yes,2,147828
Business Analyst,9,Master,7,Retail,Startup,Singapore,No,1,107807
Data Analyst,10,Diploma,18,Government,Enterprise,Australia,No,1,124096
AI Engineer,1,Bachelor,13,Healthcare,Startup,Remote,Hybrid,3,124710
Data Analyst,10,Master,11,Retail,Large,UK,Yes,1,157541
AI Engineer,0,PhD,1,Healthcare,Startup,UK,No,2,147086
Backend Developer,1,Bachelor,14,Manufacturing,Medium,UK,Hybrid,0,114906
AI Engineer,8,High School,12,Education,Large,India,Yes,0,115857
Frontend Developer,8,PhD,5,Finance,Startup,Australia,Yes,4,119642
Frontend Developer,1,PhD,13,Retail,Enterprise,Netherlands,Yes,0,132917
Machine Learning Engineer,19,High School,18,Education,Small,Germany,Yes,1,173853
Cloud Engineer,12,PhD,14,Media,Large,UK,Hybrid,0,199777
AI Engineer,20,PhD,5,Manufacturing,Small,UK,Hybrid,2,217694
Machine Learning Engineer,17,Diploma,14,Finance,Startup,Remote,Hybrid,4,151329
Backend Developer,5,High School,10,Consulting,Enterprise,India,Hybrid,5,95354
Cloud Engineer,12,Diploma,5,Retail,Large,India,Yes,5,108842
DevOps Engineer,15,Bachelor,12,Retail,Enterprise,Netherlands,No,0,176562
Business Analyst,9,High School,19,Telecom,Startup,Australia,No,4,90104
Cybersecurity Analyst,20,PhD,6,Consulting,Startup,UK,Hybrid,4,187242
Backend Developer,14,Bachelor,14,Manufacturing,Enterprise,Australia,No,4,164990
Cloud Engineer,10,High School,13,Healthcare,Large,UK,Hybrid,1,145122
Frontend Developer,17,High School,11,Healthcare,Small,Australia,Yes,1,126732
Data Scientist,18,PhD,17,Education,Startup,UK,Yes,5,188637
Business Analyst,4,Diploma,16,Consulting,Startup,Netherlands,Yes,4,95172
Backend Developer,2,Diploma,8,Healthcare,Medium,Germany,No,5,109542
Backend Developer,3,Diploma,18,Media,Large,India,No,0,84231
Business Analyst,6,PhD,13,Retail,Enterprise,Germany,Yes,3,175104
Cybersecurity Analyst,13,Bachelor,13,Media,Large,Remote,No,1,154193
